r;418009503;147003;6955;0;13
r;798192;147003;11687;0;31
r;62489640;147003;23255;0;44
r;418009502;147003;36372;0;13
r;418009497;147003;49679;0;13
r;798197;147003;50432;0;31
r;418009500;147003;53314;0;25
r;61163192;147003;60361;0;56
r;417935776;147003;65524;0;29
r;798196;147003;71458;0;29
r;11972528;147003;73719;0;35
r;30569364;147003;84910;0;11
r;15371638;147003;98040;0;37
r;13466822;147003;102788;0;30
r;61542300;147003;107624;0;29
r;62489637;147003;117223;0;42
r;798194;147003;122355;0;40
r;61163267;147003;123430;0;56
r;798193;147003;124828;0;30
r;13466824;147003;142000;0;30
r;13466823;147003;142537;0;30
r;418009499;147003;144138;0;13
r;798195;147003;146731;0;29
r;14477104;147003;155447;0;30
r;418009501;147003;203399;0;13
r;418009498;147003;205129;0;10
r;52671324;147003;239128;0;1000000
r;14457977;147003;403662;0;37
r;311520505;147003;1672860;0;27
r;88090891;147003;2435615;0;34
r;363914304;147003;14287942;2;45
r;363914308;147003;14287943;2;45
r;62214843;147003;23255;3;40
r;61105950;147003;60361;3;54
r;417935775;147003;65524;3;25
r;503636;147003;98040;3;34
r;62214842;147003;117223;3;41
r;61102215;147003;123430;3;53
r;4262;147003;146881;4;60
r;362963448;147003;150117;4;25
r;362972348;147003;150118;4;25
r;362981353;147003;150119;4;25
r;362990491;147003;150120;4;25
r;344627;147003;161698;4;57
r;595298;147003;171870;4;65
r;12088447;147003;212235;4;53
r;54020302;147003;2586628;4;45
r;54050391;147003;2586629;4;45
r;72091444;147003;2935005;4;45
r;72420614;147003;2946892;4;45
r;75763930;147003;3093590;4;49
r;75763931;147003;3093591;4;45
r;361880513;147003;14270798;4;25
r;363205199;147003;14270847;4;25
r;363008315;147003;14270942;4;25
r;363017250;147003;14270943;4;25
r;363026257;147003;14270944;4;25
r;362999461;147003;14270945;4;25
r;61542302;147003;107624;5;52
r;61542301;147003;142000;5;65
r;309940455;147003;1672860;5;25
r;125362244;147003;97706;6;51
r;78604733;147003;112929;6;38
r;30553293;147003;84910;8;41
r;376159223;147003;14723774;8;1
r;419882727;147003;15391233;8;6
r;11874627;147003;25795;11;121
r;11869549;147003;59305;11;121
r;11865859;147003;84910;11;121
r;11861604;147003;113675;11;122
r;8667319;147003;199813;11;164
r;8880039;147003;224703;11;151
r;8710034;147003;246346;11;161
r;13699547;147003;394239;11;62
r;50719841;147003;2368371;11;46
r;53873119;147003;2408353;11;41
r;54605249;147003;2427081;11;30
r;55752757;147003;2464762;11;32
r;107337738;147003;5386747;11;51
r;232082229;147003;10071363;11;41
r;236689770;147003;10133431;11;41
r;238096798;147003;10161245;11;44
